joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.0006878264735873137,1.061926273632601,0.008853632276381742,0.07059122554333458,-0.00907223867693053,0.9804401350904642,0.6482180364118136
0.0006966243780268886,1.0985356209182195,0.008855146923606203,0.07622805583933297,-0.009052626161887468,1.0113702171408183,0.6551760203109885
0.0007055247214829035,1.13557123170263,0.008856679206731688,0.08193051896361758,-0.00903278528715208,1.042660435767491,0.6622150199829456
0.0007144868130663732,1.1728637853372104,0.008858222120414769,0.08767254420385245,-0.009012806761901514,1.0741677372985925,0.6693028542926945
0.0007234695348119259,1.2102421840469955,0.008859768585786547,0.0934277872192337,-0.008992782247362593,1.1057475666242755,0.676407004344061
0.0007324316263953956,1.2475347376815757,0.008861311499469627,0.09916981245946858,-0.008972803722112028,1.137254868155377,0.68349483865381
0.0007413319698514106,1.2845703484659865,0.008862843782595112,0.10487227558375325,-0.00895296284737664,1.16854508678205,0.6905338383257671
0.0007501298742909856,1.321179695751605,0.008864358429819573,0.11050910587975166,-0.008933350332333577,1.1994751688324041,0.697491822224942
0.0007587853606191116,1.3571964207670453,0.00886584855834203,0.1160546886825739,-0.008914055299410533,1.229904563031142,0.70433717215165
0.0007672594462523464,1.3924583113690479,0.008867307456920931,0.12148404779375455,-0.008895164649585965,1.2596962214581962,0.7110390580156347
0.0007755144298364059,1.4268084867933803,0.008868728634891144,0.1267730279002313,-0.008876762427689313,1.2887176005073666,0.717567663010191
0.0007835141759637534,1.4600965824057255,0.008870105871180922,0.13189847699332313,-0.008858929187701214,1.3168416618449565,0.7238944087862862
0.0007912243998911914,1.49217993445258,0.00887143326332889,0.13683842878770913,-0.00884174135805373,1.3439478733684118,0.7299921806266836
0.0007986129522574515,1.5229247648121447,0.008872705276501025,0.14157228514040635,-0.008825270606930552,1.3699232101649548,0.7358355526200637
0.000805650103800785,1.5522073657452227,0.008873916792507642,0.14608099846974903,-0.008809583207567232,1.3946631554702256,0.741401012835148
0.0008123088300765543,1.5799152846461113,0.008875063158820359,0.1503472541743666,-0.00879473940355139,1.4180727016269172,0.7466671884948207
0.0008185650961748216,1.6059485087934942,0.008876140237589094,0.1543556530521617,-0.008780792774122938,1.4400673510434099,0.75161507115025
0.0008243981414379417,1.6302206501013408,0.008877144454659034,0.1580928937192896,-0.008767789599474302,1.4605741171524138,0.7562282418550125
0.0008297907641781506,1.652660129869795,0.008878072848587626,0.16154795502913583,-0.00875576822605063,1.4795325253696014,0.760493096339214
0.0008347296063951584,1.6732113635360757,0.00887892311966154,0.16471227849129544,-0.008744758431850016,1.4968956140522494,0.7643990701836134
0.0008392054384937364,1.69183594542536,0.00887969367891367,0.16757995069054996,-0.008734780791723724,1.5126309354578678,0.7679388639937426
0.0008432134440013112,1.7085138335016898,0.008880383697140096,0.17014788570584743,-0.008725846042676394,1.5267215567028454,0.7711086685740316
0.0008467535042855536,1.7232445341188614,0.008880993153917079,0.17241600752928052,-0.008717954449166268,1.5391670607210854,0.7739083901019296
0.0008498304832719687,1.7360482867713123,0.008881522886618032,0.17438743248506383,-0.00871109516840541,1.549984547222636,0.7763418753020268
0.0008524545121614887,1.7469672488450323,0.0088819746394305,0.17606865164851448,-0.008705245615659912,1.5592096336523393,0.778417136620179
0.0008546412741480597,1.7560666803684368,0.00888235111237315,0.17746971326502786,-0.00870037082955013,1.5668974561484545,0.7801465773976266
0.0008564122891362355,1.7634361287632747,0.00888265601031274,0.178604405169058,-0.008696422837350892,1.5731236705013045,0.7815472170451198
0.000857795198458767,1.7691906135955193,0.0088828940919811,0.17949043720309546,-0.008693340020291715,1.5779854531119102,0.7826409162170396
0.0008588240495941936,1.7734718113262669,0.008883071218992124,0.18014962363664644,-0.008691046478857023,1.581602501950632,0.7834546019855215
0.0008595395808844331,1.776449240062623,0.008883194404858737,0.18060806558521028,-0.00868945139808637,1.5841180375158004,0.784020493014577
0.0008599895062523693,1.7783214443085895,0.008883271864009884,0.18089633342925637,-0.008688448412874663,1.5856998037923469,0.7843763247342133
0.0008602287999194512,1.7793171797159952,0.008883313060807503,0.18104964923320865,-0.008687914973272358,1.586541069210471,0.7845655745145634
0.0008603199811232717,1.7796965978353336,0.008883328758563513,0.1811080691644151,-0.008687711709785712,1.5868616276042329,0.7846376868399981
0.0008603333988351684,1.7797524308667079,0.008883331068556788,0.181116665912134,-0.008687681798676967,1.586908799170228,0.7846482984832572
0.0008593199454548742,1.5752539349295689,0.008877131578208486,-3.160115967943185e-05,-0.008688725169421605,1.5267026410421896,0.7838825398161564
0.0008593082216165372,1.5752362467188967,0.008877116971184386,-2.6468604379339365e-05,-0.008688739570772017,1.5266819716372646,0.7838825917313428
